section,metric,value,percent,notes
Graph Construction,House elements,89,,
Graph Construction,House vertices,11196,,
Graph Construction,House faces,21726,,
Graph Construction,House edges,32581,,
Graph Construction,House relations,65592,,
Graph Construction,House build_time,10.99,,
Graph Construction,Duplex elements,159,,
Graph Construction,Duplex vertices,5630,,
Graph Construction,Duplex faces,10028,,
Graph Construction,Duplex edges,15168,,
Graph Construction,Duplex relations,30985,,
Graph Construction,Duplex build_time,11.32,,
Graph Construction,Institute elements,530,,
Graph Construction,Institute vertices,22774,,
Graph Construction,Institute faces,40800,,
Graph Construction,Institute edges,62078,,
Graph Construction,Institute relations,126182,,
Graph Construction,Institute build_time,33.67,,
Query Dataset,House total,30,,
Query Dataset,House element,15,,
Query Dataset,House relationship,15,,
Query Dataset,House storey_filtered,3,,
Query Dataset,Duplex total,30,,
Query Dataset,Duplex element,15,,
Query Dataset,Duplex relationship,15,,
Query Dataset,Duplex storey_filtered,5,,
Query Dataset,Institute total,30,,
Query Dataset,Institute element,15,,
Query Dataset,Institute relationship,15,,
Query Dataset,Institute storey_filtered,9,,
Query Dataset,Pattern - general_question,30,33.30%,across all 3 models
Query Dataset,Pattern - imperative,30,33.30%,across all 3 models
Query Dataset,Pattern - fact_verification,30,33.30%,across all 3 models
Understanding Accuracy,Overall,90/90,100.00%,"GPT-4 cold runs, 90 queries"
Understanding Accuracy,Pattern - general_question,30/30,100.00%,GPT-4
Understanding Accuracy,Pattern - imperative,30/30,100.00%,GPT-4
Understanding Accuracy,Pattern - fact_verification,30/30,100.00%,GPT-4
Understanding Accuracy,Model - House,30/30,100.00%,GPT-4
Understanding Accuracy,Model - Duplex,30/30,100.00%,GPT-4
Understanding Accuracy,Model - Institute,30/30,100.00%,GPT-4
End-to-End Accuracy,Overall,89/90,98.90%,"GPT-4 cold runs, 90 queries"
End-to-End Accuracy,Model - House,30/30,100.00%,GPT-4
End-to-End Accuracy,Model - Duplex,29/30,96.70%,GPT-4
End-to-End Accuracy,Model - Institute,30/30,100.00%,GPT-4
End-to-End Accuracy,Query Type - element,44/45,97.80%,GPT-4
End-to-End Accuracy,Query Type - relationship,45/45,100.00%,GPT-4
End-to-End Accuracy,Pattern - general_question,30/30,100.00%,GPT-4
End-to-End Accuracy,Pattern - imperative,29/30,96.70%,GPT-4
End-to-End Accuracy,Pattern - fact_verification,30/30,100.00%,GPT-4
End-to-End Accuracy,House x element,15/15,100.00%,GPT-4
